,Mins,Rating,Market Value,Fee,Class
167,1639,6.34,1.35,1.8,2
168,2128,6.96,36.0,0.0,1
169,2345,6.95,72.0,0.0,1
170,1835,6.95,81.0,0.0,1
171,3005,6.93,45.0,0.0,1
172,3096,6.93,90.0,0.0,1
173,625,6.23,4.5,3.6,2
174,1624,6.9,54.0,0.0,1
175,2736,6.89,45.0,0.0,1
176,1645,6.88,22.0,0.0,1
177,2966,7.36,13.5,18.18,1
178,3125,7.34,18.0,19.8,1
179,2004,7.3,2.7,3.6,1
180,1763,6.87,54.0,0.0,1
181,3009,6.86,45.0,0.0,1
182,3412,6.86,31.0,0.0,1
183,3054,7.23,27.0,27.9,1
184,2850,7.2,9.0,22.5,1
185,2130,6.84,67.0,0.0,0
186,2924,6.84,36.0,0.0,1
187,1943,6.83,49.0,0.0,1
188,3169,7.12,4.5,10.8,1
189,2128,6.79,18.0,0.0,1
190,2874,6.78,45.0,0.0,1
191,2030,7.07,12.6,22.5,1
192,3040,7.06,9.0,5.04,1
193,1510,6.74,27.0,0.0,1
194,1599,7.03,0.0,0.0,1
195,3282,7.03,13.5,22.23,1
196,3420,7.02,4.5,7.2,1
197,1331,6.7,36.0,0.0,0
198,2014,6.98,4.5,3.6,1
199,2511,6.97,1.8,25.2,1
200,2602,6.68,31.0,0.0,1
201,1338,6.96,45.0,61.02,1
202,1983,6.67,31.0,0.0,1
203,3420,6.66,63.0,0.0,1
204,2013,6.95,40.5,40.5,1
205,1243,6.65,27.0,0.0,1
206,1745,6.65,31.0,0.0,0
207,1022,6.64,63.0,0.0,1
208,1751,6.9,5.4,9.0,1
209,2372,6.89,10.8,12.6,1
210,1976,6.62,28.0,0.0,0
211,2679,6.89,22.5,35.28,1
212,2970,6.89,19.8,22.5,1
213,3165,6.88,45.0,51.3,0
214,1995,6.88,13.5,3.6,1
215,877,6.6,31.0,0.0,1
216,1670,6.59,36.0,0.0,1
217,2610,6.57,10.0,0.0,1
218,1592,6.55,36.0,0.0,1
219,2083,6.84,12.6,11.7,1
220,3420,6.52,58.0,0.0,1
221,2278,6.83,4.5,10.17,1
222,2199,6.82,18.0,14.4,1
223,3420,6.5,36.0,0.0,1
224,3420,6.79,54.0,56.25,1
225,602,6.47,18.0,0.0,0
226,2298,6.42,31.0,0.0,2
227,1755,6.74,4.5,0.0,1
228,1755,6.74,4.5,0.0,1
229,2381,6.72,27.0,25.79,1
230,2252,6.72,3.6,3.6,1
231,2166,6.71,7.2,6.3,1
232,1059,6.71,16.2,13.23,1
233,2151,7.39,15.0,0.0,1
234,3031,7.39,29.0,0.0,1
235,3194,7.37,22.0,0.0,1
