,Player,Mins,Rating,Market Value,Fee,Class
102,Manu García,2327,6.68,1.8,0.0,0
103,Manu García,2327,6.68,1.8,0.0,0
104,Vitolo,745,6.55,16.0,0.0,1
105,Dani García,2482,6.67,3.6,0.0,1
106,Stanislav Lobotka,2493,6.51,22.0,0.0,1
107,Juan Hernández,2155,6.66,270.0,0.0,1
108,Rubén Pérez,2473,6.66,6.75,0.0,1
109,Mouctar Diakhaby,1574,6.65,9.0,13.5,1
110,Pau López,2970,6.64,4.5,0.0,0
111,Coke,1815,6.63,1.8,1.35,1
112,Pedro Porro,2214,6.63,900.0,0.0,1
113,Ander Capa,1637,6.6,2.7,2.7,1
114,Fran Beltrán,1513,6.3,16.0,0.0,2
115,Santiago Cáseres,1590,6.6,5.4,9.0,1
116,Quincy Promes,1571,6.59,21.6,18.0,0
117,Eden Hazard,2926,7.81,135.0,0.0,0
118,Raheem Sterling,2777,7.61,126.0,0.0,1
119,Marc Cucurella,2356,6.58,4.5,0.0,0
120,Mohamed Salah,3262,7.57,135.0,0.0,1
121,Marc Cucurella,2356,6.58,4.5,0.0,0
122,Sergio Agüero,2480,7.53,58.0,0.0,1
123,Virgil van Dijk,3385,7.44,90.0,0.0,1
124,Sadio Mané,3086,7.43,108.0,0.0,1
125,Harry Kane,2427,7.38,135.0,0.0,1
126,Trent Alexander-Arnold,2467,7.36,72.0,0.0,1
127,Sergio Álvarez,1065,6.57,2.25,3.6,1
128,Paul Pogba,3012,7.31,90.0,0.0,1
129,Aaron Wan-Bissaka,3135,7.27,36.0,0.0,0
130,Bernardo Silva,2853,7.26,90.0,0.0,1
131,Leroy Sané,1867,7.26,90.0,0.0,1
132,Wilfred Ndidi,3299,7.21,31.0,0.0,1
133,Wilfried Zaha,3041,7.21,49.0,0.0,1
134,José Pozo,1612,6.55,2.7,1.17,1
135,Roberto Firmino,2620,7.2,72.0,0.0,1
136,Marcos Alonso,2761,7.18,28.0,0.0,1
137,Alexandre Lacazette,2507,7.17,63.0,0.0,1
138,Gylfi Sigurdsson,3134,7.16,31.0,0.0,1
139,Idrissa Gueye,2826,7.14,27.0,0.0,0
140,Michael Keane,2970,7.13,27.0,0.0,1
141,Bebé,1296,6.51,900.0,675.0,1
142,Andrew Robertson,3219,7.12,54.0,0.0,1
143,Stole Dimitrievski,1890,6.5,900.0,810.0,1
144,Jordi Amat,2764,6.5,4.5,900.0,1
145,Joel Matip,1535,7.11,31.0,0.0,1
146,Arthur,1441,6.49,27.0,27.9,2
147,Kieran Trippier,2278,7.1,31.0,0.0,0
148,Pierre-Emerick Aubameyang,2733,7.1,63.0,0.0,1
149,Roque Mesa,1747,6.48,6.3,5.4,2
150,Ilkay Gündogan,2136,7.1,45.0,0.0,1
151,Ryan Fraser,3173,7.08,27.0,0.0,1
152,Christian Eriksen,2772,7.08,90.0,0.0,1
153,Rubén Sobrino,964,6.48,2.7,4.5,2
154,Raúl Jiménez,3125,7.07,31.0,0.0,1
155,Willian,2109,7.06,31.0,0.0,1
156,Aymeric Laporte,3057,7.05,67.0,0.0,1
157,Ben Chilwell,3240,7.04,31.0,0.0,1
158,Granit Xhaka,2502,7.03,36.0,0.0,1
159,César Azpilicueta,3403,7.01,31.0,0.0,1
160,Harry Maguire,2599,7.01,63.0,0.0,0
161,Callum Wilson,2535,6.99,27.0,0.0,1
162,Moses Simon,781,6.43,5.4,4.5,2
163,Pedro,1781,6.97,16.0,0.0,1
164,Kyle Walker,2777,6.96,45.0,0.0,1
165,Carlos Bacca,1263,6.38,9.0,6.3,2
166,Ander Herrera,1405,6.96,22.0,0.0,0
167,Erick Cabaco,1639,6.34,1.35,1.8,2
168,Lucas Moura,2128,6.96,36.0,0.0,1
169,Marcus Rashford,2345,6.95,72.0,0.0,1
170,Dele Alli,1835,6.95,81.0,0.0,1
171,Declan Rice,3005,6.93,45.0,0.0,1
172,N'Golo Kanté,3096,6.93,90.0,0.0,1
173,John Guidetti,625,6.23,4.5,3.6,2
174,Anthony Martial,1624,6.9,54.0,0.0,1
175,Georginio Wijnaldum,2736,6.89,45.0,0.0,1
176,Henrikh Mkhitaryan,1645,6.88,22.0,0.0,1
177,Lucas Digne,2966,7.36,13.5,18.18,1
178,Ricardo Pereira,3125,7.34,18.0,19.8,1
179,Fabian Schär,2004,7.3,2.7,3.6,1
180,John Stones,1763,6.87,54.0,0.0,1
181,Rúben Neves,3009,6.86,45.0,0.0,1
182,Nathan Aké,3412,6.86,31.0,0.0,1
183,Felipe Anderson,3054,7.23,27.0,27.9,1
184,James Maddison,2850,7.2,9.0,22.5,1
185,Romelu Lukaku,2130,6.84,67.0,0.0,0
186,Toby Alderweireld,2924,6.84,36.0,0.0,1
187,Davinson Sánchez,1943,6.83,49.0,0.0,1
188,Willy Boly,3169,7.12,4.5,10.8,1
189,Chris Smalling,2128,6.79,18.0,0.0,1
190,Antonio Rüdiger,2874,6.78,45.0,0.0,1
191,Jannik Vestergaard,2030,7.07,12.6,22.5,1
192,João Moutinho,3040,7.06,9.0,5.04,1
193,Eric Dier,1510,6.74,27.0,0.0,1
194,Dwight McNeil,1599,7.03,0.0,0.0,1
195,Aleksandar Mitrovic,3282,7.03,13.5,22.23,1
196,Lukasz Fabianski,3420,7.02,4.5,7.2,1
197,Aaron Ramsey,1331,6.7,36.0,0.0,0
198,Fabián Balbuena,2014,6.98,4.5,3.6,1
199,Jefferson Lerma,2511,6.97,1.8,25.2,1
200,Victor Lindelöf,2602,6.68,31.0,0.0,1
201,Riyad Mahrez,1338,6.96,45.0,61.02,1
202,Jordan Henderson,1983,6.67,31.0,0.0,1
203,Ederson,3420,6.66,63.0,0.0,1
204,Fabinho,2013,6.95,40.5,40.5,1
205,Ross Barkley,1243,6.65,27.0,0.0,1
206,Mateo Kovacic,1745,6.65,31.0,0.0,0
207,Gabriel Jesus,1022,6.64,63.0,0.0,1
208,Bernardo,1751,6.9,5.4,9.0,1
209,Diogo Jota,2372,6.89,10.8,12.6,1
210,Alex Iwobi,1976,6.62,28.0,0.0,0
211,Richarlison,2679,6.89,22.5,35.28,1
212,Issa Diop,2970,6.89,19.8,22.5,1
213,Jorginho,3165,6.88,45.0,51.3,0
214,Jonny Evans,1995,6.88,13.5,3.6,1
215,Alexis Sánchez,877,6.6,31.0,0.0,1
216,Jesse Lingard,1670,6.59,36.0,0.0,1
217,Sergio Rico,2610,6.57,10.0,0.0,1
218,Harry Winks,1592,6.55,36.0,0.0,1
219,Gerard Deulofeu,2083,6.84,12.6,11.7,1
220,David de Gea,3420,6.52,58.0,0.0,1
221,David Brooks,2278,6.83,4.5,10.17,1
222,Sokratis,2199,6.82,18.0,14.4,1
223,Jordan Pickford,3420,6.5,36.0,0.0,1
224,Alisson,3420,6.79,54.0,56.25,1
225,Ademola Lookman,602,6.47,18.0,0.0,0
226,Ryan Sessegnon,2298,6.42,31.0,0.0,2
227,Vicente Guaita,1755,6.74,4.5,0.0,1
228,Vicente Guaita,1755,6.74,4.5,0.0,1
229,Lucas Torreira,2381,6.72,27.0,25.79,1
230,Maxime Le Marchand,2252,6.72,3.6,3.6,1
231,Martín Montoya,2166,6.71,7.2,6.3,1
232,Xherdan Shaqiri,1059,6.71,16.2,13.23,1
233,Josip Ilicic,2151,7.39,15.0,0.0,1
234,Suso,3031,7.39,29.0,0.0,1
235,Rodrigo de Paul,3194,7.37,22.0,0.0,1
236,Ben Foster,3420,6.69,2.7,2.52,1
237,Andrea Belotti,3301,7.23,31.0,0.0,1
238,Bernd Leno,2833,6.68,18.0,22.5,1
239,Dries Mertens,2253,7.2,22.0,0.0,1
240,Lorenzo Insigne,2080,7.16,58.0,0.0,1
241,Tiemoué Bakayoko,2301,7.15,31.0,0.0,1
242,Sergej Milinkovic-Savic,2405,7.15,58.0,0.0,1
243,Allan,2614,7.13,54.0,0.0,1
244,Arkadiusz Milik,2398,7.13,36.0,0.0,1
245,Hakan Calhanoglu,2898,7.12,16.0,0.0,1
246,Yan Valery,1715,6.66,0.0,0.0,1
247,Joe Bryan,2347,6.65,4.5,6.03,1
248,Marcelo Brozovic,2657,7.08,45.0,0.0,1
249,Alessio Cragno,3420,7.07,18.0,0.0,1
250,Kalidou Koulibaly,3134,7.06,67.0,0.0,1
251,Ivan Perisic,2707,7.06,21.0,0.0,1
252,Luis Alberto,2003,7.05,25.0,0.0,1
253,José Callejón,2652,7.03,18.0,0.0,1
254,Yves Bissouma,1771,6.63,7.2,15.21,1
255,Remo Freuler,3030,7.02,18.0,0.0,1
256,Marten de Roon,2977,7.0,21.0,0.0,1
257,Lorenzo Pellegrini,1828,7.0,36.0,0.0,1
258,Martin Dubravka,3420,6.62,3.6,3.6,1
259,Piotr Zielinski,2883,6.99,36.0,0.0,1
260,Domenico Berardi,2885,6.98,21.0,0.0,1
261,Federico Chiesa,3038,6.98,54.0,0.0,1
262,Cheikhou Kouyaté,1897,6.61,10.8,9.63,1
263,Jordan Veretout,2944,6.96,18.0,0.0,1
264,Ciro Immobile,2858,6.96,36.0,0.0,1
265,Bernard,2129,6.6,14.4,0.0,1
266,Franck Kessié,3021,6.95,27.0,0.0,0
267,Timothy Castagne,2003,6.95,16.0,0.0,1
268,Adama Traoré,896,6.59,7.2,18.0,1
269,Nikola Milenkovic,3010,6.94,27.0,0.0,1
270,Manuel Lazzari,2842,6.93,16.0,0.0,0
271,Terence Kongolo,2722,6.58,9.0,18.0,1
272,Matteo Politano,2568,6.92,27.0,0.0,0
273,Stefano Sensi,1980,6.91,27.0,0.0,1
274,Milan Skriniar,3150,6.89,54.0,0.0,1
275,Alessandro Florenzi,2185,6.89,22.0,0.0,1
276,Josh Murphy,1826,6.54,1.35,10.26,1
277,Jonas Lössl,2777,6.52,4.5,2.25,1
278,Riccardo Orsolini,1957,6.87,18.0,0.0,0
279,Gianluca Mancini,2252,6.86,19.0,0.0,1
280,Stuart Armstrong,1433,6.5,1.8,7.16,1
281,Gianluigi Donnarumma,3092,6.85,49.0,0.0,1
282,Juninho Bacuna,1416,6.49,1.35,2.25,2
283,Max Meyer,1415,6.49,16.2,0.0,2
284,Mauro Icardi,2270,6.84,67.0,0.0,1
285,Rui Patrício,3330,6.45,14.4,16.2,2
286,Joachim Andersen,2880,6.84,22.0,0.0,0
287,Davide Calabria,1954,6.84,16.0,0.0,1
288,Iago Falque,1618,6.83,15.0,0.0,1
289,Andrea Petagna,3043,6.81,18.0,0.0,0
290,Florent Hadergjonaj,1841,6.4,4.5,4.5,2
291,Erik Durm,2054,6.33,900.0,0.0,2
292,Thomas Strakosha,3150,6.76,18.0,0.0,1
293,Matías Vecino,2017,6.75,20.0,0.0,1
294,Nicolò Barella,3112,6.73,32.0,0.0,1
295,Florin Andone,876,6.22,5.4,5.4,2
296,Elseid Hysaj,2109,6.72,16.0,0.0,1
297,Duván Zapata,2900,7.32,18.0,16.65,1
298,Fabián Ruiz,1991,7.25,18.0,27.0,1
299,Cengiz Ünder,1378,6.69,31.0,0.0,1
300,Armando Izzo,3274,7.24,7.65,8.73,1
301,Krzysztof Piatek,1594,7.2,810.0,4.05,1
302,Krzysztof Piatek,1594,7.2,13.5,31.5,1
303,Alfred Duncan,1852,6.66,15.0,0.0,1
304,Domenico Criscito,3071,7.15,3.6,0.0,1
305,Giovanni Simeone,2459,6.64,15.0,0.0,1
306,Germán Pezzella,2852,7.06,11.7,8.78,1
307,Steven Nzonzi,2619,7.06,27.0,23.99,1
308,Marco Benassi,2296,6.6,16.0,0.0,1
309,Christian Kouamé,3072,7.05,2.52,4.73,1
310,Joaquín Correa,1919,7.03,9.0,13.77,1
311,Felipe,2364,6.59,18.0,0.0,1
312,Jasmin Kurtic,2561,7.02,4.5,4.77,1
313,Juraj Kucka,1536,7.01,2.25,4.28,1
314,Albin Ekdal,2652,6.99,4.05,2.34,1
315,Krzysztof Piatek,1379,6.99,810.0,4.05,1
316,Krzysztof Piatek,1379,6.99,13.5,31.5,1
317,Adam Ounas,534,6.53,9.0,0.0,1
318,Tomás Rincón,2804,6.97,7.2,5.31,1
319,Francesco Acerbi,3310,6.95,9.0,9.45,1
320,Kwadwo Asamoah,2672,6.93,12.6,0.0,1
321,Federico Santander,2063,6.92,1.8,5.85,1
322,Cristiano Biraghi,3196,6.92,4.5,1.8,1
323,Radja Nainggolan,1972,6.89,40.5,34.2,1
324,Juan Musso,2610,6.88,900.0,3.6,1
325,Gervinho,2310,6.88,6.3,0.0,1
326,Riccardo Gagliolo,3046,6.86,1.08,1.08,1
327,Téji Savanier,2866,7.89,10.0,0.0,0
328,Ignacio Pussetto,2182,6.86,6.3,7.2,1
329,Nicolas Pépé,3332,7.62,67.0,0.0,0
330,Ángel Di María,2339,7.52,36.0,0.0,1
331,Edinson Cavani,1676,7.44,36.0,0.0,1
332,Memphis Depay,2737,7.34,40.0,0.0,1
333,Nabil Fekir,1991,7.31,54.0,0.0,0
334,Stefan de Vrij,2520,6.85,36.0,0.0,1
335,Andy Delort,3132,7.27,11.0,0.0,0
336,Thiago Mendes,3082,7.27,22.0,0.0,0
337,Marcelo,2880,7.25,22.0,0.0,1
338,Marquinhos,2695,7.24,58.0,0.0,1
339,Florian Thauvin,2625,7.19,40.0,0.0,1
340,Benjamin André,2502,7.18,9.0,0.0,0
341,Danilo,3081,6.82,6.3,9.0,0
342,Valentin Rongier,3228,7.1,13.0,0.0,0
343,Danilo,3081,6.82,6.3,9.0,0
344,Ferland Mendy,2529,7.09,36.0,0.0,0
345,Danilo,3081,6.82,6.3,9.0,0
346,Danilo,3081,6.82,6.3,9.0,0
347,Marco Verratti,1887,7.07,67.0,0.0,1
348,Cristian Romero,2339,6.81,675.0,3.82,0
349,Thomas Meunier,1615,7.07,27.0,0.0,1
350,Bryan Cristante,2421,6.81,22.5,4.5,0
351,Ibrahim Sangaré,2466,7.06,13.0,0.0,1
352,Houssem Aouar,3069,7.05,40.0,0.0,1
353,Walter Benítez,3150,7.05,9.0,0.0,1
354,Jeremie Boga,1440,6.8,2.25,2.7,1
355,Simone Missiroli,2750,6.78,1.98,0.0,1
356,Julian Draxler,2046,7.02,31.0,0.0,1
357,Omar Colley,1765,6.74,4.5,7.2,1
358,Rolando Mandragora,2921,6.73,9.0,18.0,1
359,Youri Tielemans,1685,6.94,40.0,0.0,0
360,Darijo Srna,2090,6.72,900.0,0.0,0
361,Bertrand Traoré,2125,6.93,13.0,0.0,1
362,Bruno Alves,2924,6.72,450.0,0.0,1
363,Rony Lopes,1857,6.91,22.0,0.0,0
364,Wylan Cyprien,2364,6.91,16.0,0.0,1
365,Yann M'Vila,3263,6.91,9.0,0.0,1
366,Nicolò Zaniolo,1772,6.7,900.0,4.05,1
367,Christopher Nkunku,1155,6.88,13.0,0.0,0
368,Lukasz Skorupski,3420,6.69,6.3,8.1,1
369,Benjamin Lecomte,3330,6.86,12.0,0.0,0
370,Morgan Sanson,2406,6.86,25.0,0.0,1
371,William Troost-Ekong,3067,6.68,1.8,2.97,1
372,Abdoulaye Touré,2750,6.85,9.0,0.0,1
373,Milan Badelj,1143,6.68,13.5,0.0,1
374,Edouard Mendy,3420,6.85,8.0,0.0,0
375,Malang Sarr,2995,6.85,16.0,0.0,1
376,Pablo,1943,6.84,9.0,0.0,1
377,Justin Kluivert,1341,6.66,13.5,15.53,1
378,Bartosz Salamon,1724,6.0,1.26,1.8,2
379,Arturo Calabresi,1414,6.64,630.0,180.0,1
380,Mehdi Bourabia,2009,6.64,675.0,1.98,1
381,Dimitri Payet,1912,6.81,11.0,0.0,1
382,Alban Lafont,3016,6.64,16.2,7.2,1
383,Lautaro Martínez,1337,6.64,22.5,12.6,1
384,Boubacar Kamara,2411,6.8,16.0,0.0,1
385,Mike Maignan,3420,6.79,19.0,0.0,1
386,Fabio Borini,1049,6.6,6.3,4.95,1
387,Jules Koundé,3330,6.75,22.0,0.0,0
388,Andrea Beghetto,2227,6.6,810.0,1.35,1
389,Manolo Gabbiadini,807,6.6,9.0,10.71,1
390,Marco Capuano,2313,6.58,900.0,450.0,1
391,Adama Soumaoro,1730,6.73,9.0,0.0,1
392,Patrik Schick,1315,6.58,18.0,8.1,1
393,Matías Silvestre,3060,6.58,1.35,0.0,1
394,Luca Rigoni,1764,6.57,900.0,0.0,0
395,Mitchell Dijks,2027,6.57,1.35,0.0,1
396,Maxwel Cornet,1276,6.71,13.0,0.0,1
397,Pierluigi Gollini,1800,6.57,3.15,3.42,1
398,Benjamin Bourigeaud,2435,6.71,13.0,0.0,1
399,Ervin Zukanovic,1960,6.55,1.8,1.35,0
400,Youssouf Sabaly,1911,6.71,9.0,0.0,1
401,Ivan Radovanovic,1707,6.54,2.7,3.6,1
402,Robin Olsen,2430,6.54,2.25,8.1,1
403,Martin Terrier,1481,6.7,13.0,0.0,1
404,Leo Stulac,1451,6.54,1.26,1.17,0
405,Khouma Babacar,1490,6.53,7.2,6.3,1
406,Presnel Kimpembe,2006,6.69,27.0,0.0,1
407,Federico Barba,2489,6.52,1.35,2.7,1
408,Anthony Lopes,3060,6.68,22.0,0.0,1
409,Raman Chibsah,2626,6.52,1.35,900.0,1
410,Giangiacomo Magnani,1515,6.5,540.0,4.5,1
411,Giangiacomo Magnani,1515,6.5,540.0,4.5,1
412,Layvin Kurzawa,1011,6.67,15.0,0.0,1
413,Alfred Gomis,1722,6.5,2.7,1.35,0
414,Xeka,2264,6.65,9.0,0.0,1
415,Emanuele Giaccherini,2008,6.49,900.0,0.0,2
416,Miguel Veloso,1259,6.49,2.25,0.0,0
417,Simone Verdi,701,6.48,22.5,22.05,2
418,François Kamano,2572,6.64,13.0,0.0,1
419,Samu Castillejo,1008,6.46,13.5,22.5,2
420,Federico Di Francesco,1081,6.46,3.15,6.3,2
421,Filip Djuricic,1261,6.46,1.35,0.0,2
422,Jonathan Biabiany,1069,6.44,1.58,1.35,0
423,Riccardo Saponara,908,6.44,8.1,8.1,2
424,Antonino La Gumina,1091,6.43,1.8,8.1,2
425,Afriyie Acquah,1514,6.42,1.8,900.0,2
426,Lucas Tousart,1729,6.59,18.0,0.0,1
427,Filip Bradaric,1494,6.42,4.5,4.5,2
428,Mariusz Stepinski,2476,6.35,3.6,2.25,2
429,Diego Laxalt,640,6.35,16.2,12.6,2
430,Mattias Svanberg,1175,6.31,675.0,4.05,2
431,Fabio Ceravolo,1183,6.18,1.8,1.8,0
432,Alberto Paloschi,852,6.15,3.15,3.6,2
433,Kylian Mbappé,2344,8.0,108.0,121.5,1
434,Boubakary Soumaré,553,6.49,16.0,0.0,2
435,Youcef Atal,2261,7.48,720.0,2.7,1
436,Hatem Ben Arfa,2037,7.35,4.5,0.0,0
437,Wahbi Khazri,2825,7.25,9.0,6.3,1
438,Rémy Cabella,3000,7.13,8.1,5.4,0
439,Florent Mollet,2580,7.05,1.13,2.34,1
440,Jonathan Bamba,3011,7.02,7.2,0.0,1
441,Robert Lewandowski,2959,7.65,58.0,0.0,1
442,Ghislain Konan,1800,7.02,1.8,3.6,1
443,Naïm Sliti,2290,7.01,6.3,1.8,0
444,Kerem Demirbay,2023,7.59,28.0,0.0,0
445,Léo Dubois,2044,7.01,9.0,0.0,1
446,Emiliano Sala,1377,7.0,14.4,15.3,1
447,Marcel Halstenberg,2414,7.56,19.0,0.0,1
448,Sébastien Haller,2181,7.55,40.0,0.0,0
449,Jadon Sancho,2464,7.52,90.0,0.0,1
450,Joshua Kimmich,3060,7.49,63.0,0.0,1
451,Thorgan Hazard,2878,7.44,34.0,0.0,0
452,Thilo Kehrer,1896,6.98,16.2,33.3,1
453,Willi Orban,2050,7.41,18.0,0.0,1
454,Marco Reus,2322,7.39,45.0,0.0,1
455,Kingsley Coman,1392,7.34,54.0,0.0,1
456,Samuel Kalu,1280,6.97,4.5,7.65,1
457,José Fonte,3112,6.97,1.8,0.0,1
458,Kevin Volland,2820,7.28,31.0,0.0,1
459,Yussuf Poulsen,2454,7.27,31.0,0.0,1
460,Marko Grujic,1780,7.26,18.0,0.0,1
461,Filip Kostic,2961,7.26,34.0,0.0,1
462,Julian Brandt,2674,7.26,45.0,0.0,0
463,Kai Havertz,2901,7.25,81.0,0.0,1
464,James Rodríguez,1143,7.24,45.0,0.0,1
465,Joelinton,2136,7.21,31.0,0.0,0
466,Thomas Müller,2391,7.19,31.0,0.0,1
467,Ibrahima Konaté,2431,7.19,40.0,0.0,1
468,Timo Werner,2525,7.17,58.0,0.0,1
469,Mats Hummels,1776,7.17,31.0,0.0,0
470,Serge Gnabry,1774,7.15,54.0,0.0,1
471,Kevin Kampl,2122,7.13,19.0,0.0,1
472,Maximilian Arnold,2879,7.11,16.0,0.0,1
473,Achraf Hakimi,1740,7.11,27.0,0.0,1
474,Damien Le Tallec,2812,6.91,1.58,0.0,1
475,Andrej Kramaric,2404,7.09,34.0,0.0,1
476,Jordan Amavi,2178,6.91,14.4,9.0,1
477,Florian Grillitsch,2395,7.06,19.0,0.0,1
478,Emil Forsberg,1254,7.02,22.0,0.0,1
479,Ondrej Duda,2575,7.02,15.0,0.0,1
480,M'Baye Niang,1794,6.88,9.0,10.8,0
481,David Alaba,2534,7.01,49.0,0.0,1
482,Lukas Klostermann,2003,7.01,27.0,0.0,1
483,Charles Aránguiz,1897,7.0,13.0,0.0,1
484,Mario Götze,1680,7.0,19.0,0.0,1
485,Damien Da Silva,2874,6.88,4.95,0.0,1
486,Luka Jovic,2249,7.0,54.0,0.0,0
487,Milot Rashica,1559,6.98,18.0,0.0,1
488,Jeff Reine-Adélaïde,2566,6.87,2.7,1.44,0
489,Maximilian Eggestein,3053,6.98,27.0,0.0,1
490,Niklas Süle,2652,6.96,54.0,0.0,1
491,Jonathan Tah,2939,6.95,36.0,0.0,1
492,Marcel Sabitzer,2356,6.94,27.0,0.0,1
493,Juan Bernat,1838,6.84,10.8,4.5,1
494,Paco Alcácer,1205,6.93,45.0,0.0,0
495,Dan-Axel Zagadou,1267,6.92,25.0,0.0,1
496,Diego Demme,2061,6.92,15.0,0.0,1
497,Clément Grenier,2668,6.83,3.6,3.6,1
498,Niklas Stark,1871,6.92,18.0,0.0,1
499,Nico Elvedi,2626,6.91,27.0,0.0,1
500,Wendell,2278,6.9,18.0,0.0,1
501,Jonathan Ikoné,2815,6.82,630.0,4.5,1
502,Leon Bailey,1921,6.9,36.0,0.0,1
503,Nico Schulz,2542,6.9,22.0,0.0,0
504,Karim Bellarabi,1061,6.9,13.0,0.0,1
505,Javi Martínez,1313,6.88,24.0,0.0,1
506,Jonathan Gradit,2013,6.8,450.0,0.0,1
507,Jérôme Boateng,1694,6.87,13.0,0.0,1
508,Danny da Costa,3035,6.85,13.0,0.0,1
509,Denis Bouanga,2640,6.79,1.58,2.7,0
510,Kevin Strootman,1941,6.76,25.2,22.5,1
511,Benjamin Henrichs,1827,6.75,10.8,18.0,1
512,Manuel Akanji,2206,6.79,36.0,0.0,1
513,Philipp Max,2575,6.78,15.0,0.0,1
514,Jason Denayer,2748,6.75,2.7,5.85,1
515,Thomas Foket,2880,6.73,3.15,3.15,1
516,Rafael Leão,1295,6.73,5.4,0.0,0
517,Benjamin Pavard,2606,6.73,31.0,0.0,1
518,Matthias Ginter,2380,6.73,31.0,0.0,1
519,Konrad Laimer,1878,6.72,15.0,0.0,1
520,Mathieu Dossevi,2482,6.71,3.15,2.25,1
521,Lucas Alario,1256,6.72,15.0,0.0,1
522,Sergi Palencia,1984,6.71,2.25,0.0,0
523,Julian Weigl,1456,6.71,22.0,0.0,1
524,Loïck Landre,1593,6.69,180.0,135.0,1
525,Saman Ghoddos,1833,6.69,1.58,3.6,1
526,Davie Selke,1731,6.69,13.0,0.0,1
527,Duje Caleta-Car,1546,6.65,9.0,17.1,1
528,Yann Karamoh,1224,6.65,6.3,5.85,1
529,Florian Neuhaus,2072,6.65,19.0,0.0,1
530,Arne Maier,2069,6.65,21.0,0.0,1
531,Moussa Doumbia,1600,6.64,450.0,0.0,1
532,Denis Zakaria,1959,6.63,25.0,0.0,1
533,Aleksandr Golovin,2301,6.63,22.5,27.0,1
534,Karim Rekik,2070,6.62,13.0,0.0,1
535,Moussa Diaby,1131,6.62,450.0,0.0,0
536,Loïc Rémy,1209,6.62,5.4,1.26,1
537,Danilo,1552,6.61,6.3,9.0,0
538,Danilo,1552,6.61,6.3,9.0,0
539,Danilo,1552,6.61,6.3,9.0,0
540,Danilo,1552,6.61,6.3,9.0,0
541,Baptiste Reynet,2705,6.61,4.5,3.6,1
542,Josip Brekalo,1416,6.59,13.0,0.0,1
543,Toma Basic,1336,6.59,1.22,3.15,1
544,Casimir Ninga,2476,6.58,1.35,1.8,1
545,Juan Ferney Otero,2180,6.57,2.7,1.92,1
546,Prince Oniangué,2343,6.57,1.35,450.0,1
547,Stéphane Bahoken,2493,6.57,2.7,0.0,1
548,Boulaye Dia,746,6.56,0.0,0.0,1
549,Gen Shoji,1620,6.56,3.15,2.7,1
550,Jimmy Briand,2501,6.55,2.25,0.0,1
551,Rafael,1019,6.53,720.0,0.0,0
552,Enzo Crivelli,2273,6.5,3.6,2.7,1
553,Anthony Limbombe,1234,6.49,7.2,7.2,2
554,Renato Sanches,567,6.36,16.0,0.0,0
555,Manuel Neuer,2303,6.34,16.0,0.0,2
556,Jean-Kévin Augustin,452,6.32,14.0,0.0,2
557,Ignatius Ganago,1034,6.45,0.0,0.0,2
558,Eric Maxim Choupo-Moting,794,6.42,7.2,0.0,2
559,Nolan Roux,1538,6.42,3.15,0.0,2
560,Manu García,1850,6.4,1.8,0.0,0
561,Manu García,1850,6.4,1.8,0.0,0
562,Junior Sambia,913,6.39,2.25,1.8,2
563,Cheick Timite,1453,6.34,0.0,0.0,2
564,Petar Skuletic,581,6.33,900.0,0.0,2
565,Aaron Leya Iseka,1440,6.25,1.98,1.13,2
566,Rúnar Alex Rúnarsson,2250,6.23,450.0,1.44,2
567,Moussa Sylla,762,6.17,2.7,0.0,2
568,Farid El Melali,310,6.16,540.0,0.0,2
569,Ishak Belfodil,1864,7.29,4.95,4.95,1
570,Wout Weghorst,2931,7.24,6.3,9.45,1
571,Kevin Stöger,2121,7.17,1.8,0.0,1
572,Thomas Delaney,2290,7.13,10.8,18.0,1
573,Axel Witsel,2873,7.11,18.0,18.0,1
574,Jérôme Roussillon,2466,7.03,7.2,4.5,1
575,Marc Oliver Kempf,2026,7.01,3.6,0.0,1
576,Valentino Lazaro,2743,7.0,8.1,9.45,0
577,Nordi Mukiele,1227,6.99,12.6,14.4,1
578,Leon Goretzka,2021,6.96,36.0,0.0,1
579,Nuri Sahin,1487,6.91,4.05,900.0,1
580,Ante Rebic,1985,6.89,9.0,1.8,1
581,Davy Klaassen,2823,6.89,13.5,12.15,1
582,Abdou Diallo,2381,6.88,10.8,25.2,0
583,André Hahn,2050,6.87,1.35,2.7,1
584,Christian Pulisic,924,6.86,45.0,57.6,1
585,Matthias Zimmermann,3050,6.84,900.0,0.0,1
586,Mitchell Weiser,2111,6.76,10.8,10.8,1
587,Benito Raman,1679,6.74,2.25,1.35,0
588,Christian Mathenia,1934,6.71,900.0,450.0,1
589,Dominique Heintz,3054,6.69,6.75,2.7,1
590,Daniel Ginczek,1275,6.68,3.15,12.6,1
591,Yuya Osako,1351,6.65,4.05,4.05,1
592,Michael Lang,1262,6.64,5.18,2.52,1
593,Leonardo Bittencourt,1069,6.6,5.4,5.4,1
594,Kenan Karaman,915,6.59,1.35,0.0,1
595,Javairô Dilrosun,892,6.59,0.0,0.0,1
596,Martin Harnik,829,6.58,2.7,2.03,1
597,Alfredo Morales,1527,6.58,900.0,0.0,1
598,Jérôme Gondorf,1296,6.57,1.35,1.17,1
599,Daniel Didavi,951,6.57,6.3,3.6,1
600,Gonzalo Castro,1694,6.55,7.2,4.5,1
601,Kevin Möhwald,863,6.5,2.25,0.0,1
